Strategy,Category,Asset,Ticker,Allocation
High risk,US stocks,iShares Core S&P 500 ETF,IVV,27.00%
High risk,US stocks,Vanguard Russell 1000 Growth ETF,VONG,18.00%
High risk,US stocks,Invesco S&P 500 Quality ETF,SPHQ,8.00%
High risk,US stocks,Invesco S&P 500 Momentum ETF,SPMO,8.00%
High risk,US stocks,iShares Russell 2000 ETF,IWM,6.00%
High risk,US stocks,Vanguard Value ETF,VTV,6.00%
High risk,US stocks,Schwab US Dividend Equity ETF,SCHD,3.00%
High risk,International stocks,iShares MSCI Emerging Markets ex China ETF,EMXC,5.00%
High risk,International stocks,WisdomTree Japan Hedged Equity ETF,DXJ,4.00%
High risk,International stocks,SPDR EURO STOXX 50 ETF,FEZ,4.00%
High risk,International stocks,Xtrackers Harvest CSI 300 China A-Shares ETF,ASHR,3.00%
High risk,Thematic stocks,iShares Semiconductor ETF,SOXX,4.00%
High risk,Thematic stocks,State Street SPDR S&P Aerospace & Defense ETF,XAR,2.00%
High risk,Thematic stocks,Select STOXX Europe Aerospace & Defense ETF,EUAD,1.00%
High risk,Thematic stocks,VanEck Rare Earth and Strategic Metals ETF,REMX,1.00%
High risk,Total,,,100.00%
